0:0:0:0:0:0:0:1 - - [13/May/2021:16:00:37 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [13/May/2021:16:00:53 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [13/May/2021:16:00:54 +0700] "GET /Web-Lab8/Homepage.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [13/May/2021:16:00:55 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [13/May/2021:16:01:00 +0700] "POST /Web-Lab8/Register.jsp HTTP/1.1" 500 2395
0:0:0:0:0:0:0:1 - - [13/May/2021:16:03:59 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [13/May/2021:16:04:00 +0700] "POST /Web-Lab8/Register.jsp HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [13/May/2021:16:04:07 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [13/May/2021:16:04:14 +0700] "POST /Web-Lab8/Register.jsp HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [13/May/2021:16:04:58 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [13/May/2021:16:05:01 +0700] "POST /Web-Lab8/Register.jsp HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [13/May/2021:16:07:17 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [13/May/2021:16:07:20 +0700] "POST /Web-Lab8/Register.jsp HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [13/May/2021:16:07:26 +0700] "POST /Web-Lab8/Register.jsp HTTP/1.1" 500 2420
0:0:0:0:0:0:0:1 - - [13/May/2021:16:07:29 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [13/May/2021:16:07:32 +0700] "POST /Web-Lab8/Register.jsp HTTP/1.1" 200 1051
